Geography, !!Total:
1000000US490011001001000,0
1000000US490011001001001,0
1000000US490011001001002,0
1000000US490011001001003,0
1000000US490011001001004,0
1000000US490011001001005,0
1000000US490011001001006,0
1000000US490011001001007,4
1000000US490011001001008,0
1000000US490011001001009,0
1000000US490011001001010,0
1000000US490011001001011,0
1000000US490011001001012,0
1000000US490011001001013,0
1000000US490011001001014,0
1000000US490011001001015,0
1000000US490011001001016,1
1000000US490011001001017,0
1000000US490011001001018,0
1000000US490011001001019,0
1000000US490011001001020,0
1000000US490011001001021,0
1000000US490011001001022,0
1000000US490011001001023,0
1000000US490011001001024,0
1000000US490011001001025,0
1000000US490011001001026,0
1000000US490011001001027,0
1000000US490011001001028,0
1000000US490011001001029,0
1000000US490011001001030,0
1000000US490011001001031,0
1000000US490011001001032,0
1000000US490011001001033,0
1000000US490011001001034,0
1000000US490011001001035,0
1000000US490011001001036,0
1000000US490011001001037,2
1000000US490011001001038,0
1000000US490011001001039,0
1000000US490011001001040,0
1000000US490011001001041,0
1000000US490011001001042,0
1000000US490011001001043,0
1000000US490011001001044,0
1000000US490011001001045,0
1000000US490011001001046,0
1000000US490011001001047,0
1000000US490011001001048,2
1000000US490011001001049,0
1000000US490011001001050,0
1000000US490011001001051,0
1000000US490011001001052,0
1000000US490011001001053,0
1000000US490011001001054,0
1000000US490011001001055,0
1000000US490011001001056,0
1000000US490011001001057,0
1000000US490011001001058,0
1000000US490011001001059,0
1000000US490011001001060,22
1000000US490011001001061,0
1000000US490011001001062,0
1000000US490011001001063,0
1000000US490011001001064,0
1000000US490011001001065,0
1000000US490011001001066,0
1000000US490011001001067,0
1000000US490011001001068,0
1000000US490011001001069,4
1000000US490011001001070,0
1000000US490011001001071,0
1000000US490011001001072,0
1000000US490011001001073,0
1000000US490011001001074,0
1000000US490011001001075,0
1000000US490011001001076,0
1000000US490011001001077,0
1000000US490011001001078,0
1000000US490011001001079,0
1000000US490011001001080,0
1000000US490011001001081,0
1000000US490011001001082,0
1000000US490011001001083,0
1000000US490011001001084,7
1000000US490011001001085,0
1000000US490011001001086,0
1000000US490011001001087,0
1000000US490011001001088,0
